idx,x,y,N,rho
0,0.858182156,-0.713779725,20,-0.9
1,1.591157868,-1.286863187,20,-0.9
2,-0.125011012,0.472990663,20,-0.9
3,-0.179545525,-0.187932038,20,-0.9
4,1.273578216,-2.006205943,20,-0.9
5,-0.023931872,-0.839900422,20,-0.9
6,0.180208602,-0.632770113,20,-0.9
7,-1.117085947,1.466469419,20,-0.9
8,0.485852154,0.08405433,20,-0.9
9,-1.000103295,0.88097372,20,-0.9
10,0.013576929,-0.333529764,20,-0.9
11,0.292549302,-0.05001153,20,-0.9
12,-0.018347543,-0.070630182,20,-0.9
13,-0.156390926,0.393897839,20,-0.9
14,-1.226642529,1.521410803,20,-0.9
15,0.006532894,0.700731768,20,-0.9
16,0.235755094,-0.025054475,20,-0.9
17,0.05193791,-0.048832743,20,-0.9
18,0.077782683,-0.084252351,20,-0.9
19,-1.22005516,0.75923393,20,-0.9
0,-1.160429805,-0.740135489,20,-0.5
1,-0.070009922,1.084335557,20,-0.5
2,-0.761544752,-0.505733006,20,-0.5
3,-1.218176419,2.117362923,20,-0.5
4,0.924523739,-1.384075272,20,-0.5
5,0.311678654,-1.091612629,20,-0.5
6,-1.262939014,0.938058827,20,-0.5
7,-0.51423795,-0.123040239,20,-0.5
8,1.277240973,0.665188292,20,-0.5
9,0.307073693,-1.077752289,20,-0.5
10,1.091519988,0.84537112,20,-0.5
11,0.258248176,-1.549131148,20,-0.5
12,0.633911535,1.943426193,20,-0.5
13,0.433788163,-0.310456775,20,-0.5
14,2.403429217,-1.77750715,20,-0.5
15,-0.378737598,0.299371898,20,-0.5
16,-1.219365626,1.637578572,20,-0.5
17,-1.466940689,0.395274503,20,-0.5
18,0.878966986,-0.492416741,20,-0.5
19,-0.467999349,-0.874107147,20,-0.5
0,0.571057273,1.496728812,20,0.5
1,-0.104178975,-0.035470577,20,0.5
2,0.650433695,0.57942302,20,0.5
3,-1.031514405,-0.384690127,20,0.5
4,0.573948693,0.915906011,20,0.5
5,-1.105702822,0.304581024,20,0.5
6,1.197095117,-0.372315877,20,0.5
7,-1.491218064,-0.721684383,20,0.5
8,1.121443067,0.145562508,20,0.5
9,0.622762299,-0.414420093,20,0.5
10,0.719021308,1.195867104,20,0.5
11,0.489279541,0.876942969,20,0.5
12,-0.337510816,-0.87303516,20,0.5
13,-0.020686551,-1.587783887,20,0.5
14,-0.431144429,-0.498036559,20,0.5
15,0.874684941,0.968179571,20,0.5
16,0.592701602,-0.456394484,20,0.5
17,-1.485661802,-0.969679336,20,0.5
18,-1.773094132,-0.630655197,20,0.5
19,0.368284459,0.460974659,20,0.5
0,-0.43026457,-0.176730114,20,0.9
1,-0.435791581,-0.8626999,20,0.9
2,1.351177139,1.010805984,20,0.9
3,-0.309275986,-0.311336502,20,0.9
4,0.546969389,0.820313873,20,0.9
5,0.125026401,-0.875066517,20,0.9
6,0.999715725,0.919921204,20,0.9
7,0.676569774,0.814807439,20,0.9
8,-1.867308681,-1.377808695,20,0.9
9,-0.158816649,0.251798835,20,0.9
10,0.308898128,0.356530821,20,0.9
11,1.237130701,0.674707286,20,0.9
12,0.603918707,0.694465536,20,0.9
13,-1.357571711,-1.587956277,20,0.9
14,-0.826011044,-0.306534081,20,0.9
15,0.108162813,-0.035237512,20,0.9
16,0.205037119,0.071131425,20,0.9
17,-0.046062516,0.638254692,20,0.9
18,-0.114331991,-0.139460603,20,0.9
19,-0.617171165,-0.579906892,20,0.9
0,-0.464917365,0.252185082,100,-0.9
1,1.212112776,-0.532145276,100,-0.9
2,0.246479843,0.272646615,100,-0.9
3,-1.731580631,0.718344924,100,-0.9
4,0.023113538,-0.228901709,100,-0.9
5,0.477833183,-0.023405138,100,-0.9
